noun,m,w,m_index,w_index,diff,diffabs
Kind,5333.0,5695.0,12.8,32.2,-19.400000000000002,19.400000000000002
Regierung,13654.0,4151.0,32.8,23.5,9.299999999999997,9.299999999999997
Mensch,4580.0,3570.0,11.0,20.2,-9.2,9.2
Sp,4543.0,3505.0,10.9,19.8,-8.9,8.9
Schule,3734.0,3060.0,9.0,17.3,-8.3,8.3
Grüne,4221.0,3098.0,10.1,17.5,-7.4,7.4
Fdp,6663.0,4100.0,16.0,23.2,-7.199999999999999,7.199999999999999
Frau,3474.0,2722.0,8.4,15.4,-7.0,7.0
Million,13785.0,4863.0,33.1,27.5,5.600000000000001,5.600000000000001
Problem,9022.0,2899.0,21.7,16.4,5.300000000000001,5.300000000000001
Franken,17585.0,6539.0,42.3,37.0,5.299999999999997,5.299999999999997
Sv,8982.0,2944.0,21.6,16.7,4.900000000000002,4.900000000000002
Beispiel,9266.0,4800.0,22.3,27.2,-4.899999999999999,4.899999999999999
Kommission,10730.0,3753.0,25.8,21.2,4.600000000000001,4.600000000000001
Arbeit,4782.0,2809.0,11.5,15.9,-4.4,4.4
Staat,6226.0,1888.0,15.0,10.7,4.300000000000001,4.300000000000001
Frage,11174.0,4017.0,26.9,22.7,4.199999999999999,4.199999999999999
Kantonsrat,9739.0,3402.0,23.4,19.3,4.099999999999998,4.099999999999998
Massnahmen,6554.0,3454.0,15.8,19.6,-3.8000000000000007,3.8000000000000007
Bereich,7253.0,3745.0,17.4,21.2,-3.8000000000000007,3.8000000000000007
