noun,m,w,m_index,w_index,diff,diffabs
Kind,5033.0,5094.0,12.9,31.0,-18.1,18.1
Regierung,12769.0,3838.0,32.7,23.4,9.300000000000004,9.300000000000004
Mensch,4243.0,3284.0,10.9,20.0,-9.1,9.1
Schule,3532.0,2802.0,9.0,17.1,-8.100000000000001,8.100000000000001
Sp,4315.0,3132.0,11.0,19.1,-8.100000000000001,8.100000000000001
Fdp,6201.0,3905.0,15.9,23.8,-7.9,7.9
Grüne,3950.0,2837.0,10.1,17.3,-7.200000000000001,7.200000000000001
Frau,3339.0,2583.0,8.5,15.7,-7.199999999999999,7.199999999999999
Million,13058.0,4503.0,33.4,27.4,6.0,6.0
Franken,16471.0,5990.0,42.1,36.5,5.600000000000001,5.600000000000001
Problem,8431.0,2654.0,21.6,16.2,5.400000000000002,5.400000000000002
Sv,8469.0,2717.0,21.7,16.5,5.199999999999999,5.199999999999999
Beispiel,8773.0,4496.0,22.4,27.4,-5.0,5.0
Frage,10479.0,3657.0,26.8,22.3,4.5,4.5
Kommission,9830.0,3395.0,25.1,20.7,4.400000000000002,4.400000000000002
Arbeit,4464.0,2592.0,11.4,15.8,-4.4,4.4
Staat,5797.0,1718.0,14.8,10.5,4.300000000000001,4.300000000000001
Kantonsrat,9151.0,3157.0,23.4,19.2,4.199999999999999,4.199999999999999
Bereich,6809.0,3527.0,17.4,21.5,-4.100000000000001,4.100000000000001
Vorlage,10277.0,3671.0,26.3,22.3,4.0,4.0
