sitzung,dokument,titel,_filename
2019-05-06T00:00:00.000,aab377e9c1934ccea710fd16ecfb444c-332,Wahl der Aufsichts- und Sachkommissionen,2019_1
2019-05-06T00:00:00.000,aab377e9c1934ccea710fd16ecfb444c-332,Wahl der Geschäftsleitung des Kantonsrates für das Amtsjahr 2019/2020,2019_1
2019-05-06T00:00:00.000,aab377e9c1934ccea710fd16ecfb444c-332,Erwahrung der Ergebnisse der Erneuerungswahl der Mitglieder des Kantonsrates vom 24.März 2019 für die Amtsdauer 2019–2023,2019_1
2019-05-13T00:00:00.000,efb93fe8ba1946388dea7f1da7f071b0-332,Abbau von Nettovermögen im neuen Gemeindegesetz,2019_1
2019-05-13T00:00:00.000,efb93fe8ba1946388dea7f1da7f071b0-332,Der Kanton Zürich ruft den Klimanotstand aus - für «eusi Zuekunft»,2019_1
2019-05-13T00:00:00.000,efb93fe8ba1946388dea7f1da7f071b0-332,«Klimanotstand»,2019_1
2019-05-13T00:00:00.000,efb93fe8ba1946388dea7f1da7f071b0-332,Anpassung Vorschriften über die Fischerei und die Schifffahrt bei der Quaibrücke in Zürich,2019_1
2019-05-20T00:00:00.000,b9e2d51394a245ee9195310824a6b20e-332,Bedarfsgerechte Akutversorgung: Keine Leistungsaufträge für Überkapazitäten,2019_1
2019-05-20T00:00:00.000,b9e2d51394a245ee9195310824a6b20e-332,Umsetzung «ambulant vor stationär» in der psychiatrischen Versorgung,2019_1
2019-05-20T00:00:00.000,b9e2d51394a245ee9195310824a6b20e-332,Rollenkonflikt des Regierungsrates in der Kantonsspital Winterthur AG,2019_1
2019-05-20T00:00:00.000,b9e2d51394a245ee9195310824a6b20e-332,Genehmigung der Erneuerungswahl des Spitalrates des Kantonsspitals Winterthur,2019_1
2019-05-20T00:00:00.000,b9e2d51394a245ee9195310824a6b20e-332,Genehmigung der Erneuerungswahl des Spitalrates des Universitätsspitals Zürich,2019_1
2019-05-20T00:00:00.000,b9e2d51394a245ee9195310824a6b20e-332,Gleichbehandlung von nur grundversicherten Patienten in der Klinik Hirslanden,2019_1
2019-05-27T00:00:00.000,eda5d2764bf440e5a4f075fead393564-332,Abbau von Nettovermögen im neuen Gemeindegesetz,2019_1
2019-05-27T00:00:00.000,eda5d2764bf440e5a4f075fead393564-332,Genehmigung der Abrechnung des Kredits für die Durchführung von Wiederbelebungsmassnahmen (Revitalisierung) an öffentlichen Fliessgewässern,2019_1
2019-05-27T00:00:00.000,eda5d2764bf440e5a4f075fead393564-332,Energieplanungsbericht 2017 (Genehmigung),2019_1
2019-05-27T00:00:00.000,eda5d2764bf440e5a4f075fead393564-332,"Schutzverordnung Silbern/Lerzen/Stierenmatt (SLS)
in Dietikon",2019_1
2019-05-27T00:00:00.000,eda5d2764bf440e5a4f075fead393564-332,Beschaffungswesen der kantonalen Verwaltung,2019_1
2019-05-27T00:00:00.000,eda5d2764bf440e5a4f075fead393564-332,Sinnvolle Wiederverwertung von wertvollem Bodenmaterial,2019_1
2019-05-27T00:00:00.000,bc0c3af1508f405f8fae8bac4f7c05bd-332,Genehmigung einer Verordnung über den preisgünstigen Wohnraum,2019_1
2019-05-27T00:00:00.000,bc0c3af1508f405f8fae8bac4f7c05bd-332,Mehr Augenmass beim Hochwasserschutz,2019_1
2019-05-27T00:00:00.000,bc0c3af1508f405f8fae8bac4f7c05bd-332,Objektkredit für die Radweglückenschliessung und die Hangsicherung an der 7 Weiacherstrasse zwischen der Solistrasse in der Stadt Bülach und der Chrondel in der Gemeinde Rorbas,2019_1
